RecordID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Fach|Signatur|URL
001628165|Rengier, Rudolf|Strafrecht - Besonderer Teil|15., neu bearb. Aufl.|2013||ger|cofz , text , cofz , text , lb05  BSO ,|PH 3500 R412-1(15)|http://ebibliothek.beck.de/?vpath=bibdata/komm/RenHdbStrBTI%5F15/cont/RenHdbStrBTI.htm
001683180|Rengier, Rudolf|Strafrecht - Besonderer Teil|16., neu bearb. Aufl.|2014||ger|cofz , text , cofz , text , lb09  BSO ,|PH 3500 R412-1(16)|https://ebibliothek.beck.de/?vpath=bibdata/komm/RenHdbStrBTI%5F16/cont/RenHdbStrBTI.htm
001628189|Rengier, Rudolf|Strafrecht, Allgemeiner Teil|5., neu bearb. Aufl.|2013||ger|cofz , text , lb09  BSO ,|PH 3000 R412(5)|http://ebibliothek.beck.de/?vpath=bibdata/komm/RenHdbStrAT%5F5/cont/RenHdbStrAT.htm
001700179|Roberts, Ian G.|Diachronic syntax|1. publ.|2007|978-0-19-928366-8|eng|cofz , text , lb27  BSO ,|ET 620 R644|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10271411
001700183|Roberts, Ian G.|Syntactic change|1. publ.|2003|0-521-79056-5|eng|cofz , text , lb27  BSO ,|ET 640 R644|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10289388
001600534|Roeck, Bernd|Lebenswelt und Kultur des Bürgertums in der frühen Neuzeit||1991|978-3-486-70184-5|ger|cofz , text , lb34  BSO ,|NB 2200 R711|http://dx.doi.org/10.1524/9783486701845
001393677|Rohrschneider, Uta|Die besten Bewerbungsmuster|4., aktualisierte Aufl.|2009||ger|cofz , text , lb01  BSO ,|AL 43950 R739|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/20041
001401996|Rohrschneider, Uta|Die besten Bewerbungsmuster für Führungskräfte|2., aktualisierte Aufl.|2006|3-448-07239-7|ger|cofz , text , lb01  BSO ,|AL 43950 R739 F953|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/6528
001700181|Rosenstiel, Lutz von|Grundlagen der Organisationspsychologie|7., überarb. Aufl.|2011|978-3-7910-3065-4|ger|cofz , text , lb03  BSO ,|CW 4500 R815 G889(7)|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10773126
001568565|Rost, Detlef H.|Handwörterbuch Pädagogische Psychologie|4., überarb. und erw. Aufl.|2010|978-3-621-27906-2|ger|cofz , text , lb03  BSO ,|CX 1000 R839(4)|http://www.content-select.com/index.php?id=bib%5Fview&ean=9783621279062
001586079|Roxin, Claus|Strafverfahrensrecht|27., neu bearb. Aufl. des von Eduard Kern begr. Werkes|2012||ger|cofz , text , lb09  BSO ,|PH 4700 R887(27)|http://ebibliothek.beck.de/?vpath=bibdata/komm/RoSchHdbStrafverf%5F27/cont/RoSchHdbStrafverf.htm
001600526|Roxin, Claus|Täterschaft und Tatherrschaft|8. Aufl.|2006|978-3-11-092186-1|ger|cofz , text , lb09  BSO ,|PH 3160 R887(8)|http://www.degruyter.com/doi/book/10.1515/9783110921861
001599296|Rösener, Werner|Agrarwirtschaft, Agrarverfassung und ländliche Gesellschaft im Mittelalter||1992|978-3-486-70195-1|ger|cofz , text , lb34  BSO ,|NB 1600 R718|http://dx.doi.org/10.1524/9783486701951
001614169|Saake, Gunter|Algorithmen und Datenstrukturen|4., überarb. Aufl.|2010|978-3-89864-663-5|ger|cofz , text , lb12  BSO ,|ST 134 S111(4)|http://ub-mannheim.ciando.com/shop/book/short/index.cfm/fuseaction/short/bok%5Fid/328115
001700173|Saake, Gunter|Algorithmen und Datenstrukturen|5., überarb. Aufl.|2014|978-3-86490-136-2|ger|cofz , text , lb12  BSO ,|ST 134 S111(5)|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10835502
001600527|Saussure, Ferdinand de|Grundfragen der allgemeinen Sprachwissenschaft|3. Aufl. / mit einem Nachw. von Peter Ernst|2001|3-11-017015-9|ger|cofz , text , lb27  BSO ,|ER 560 S259|http://www.degruyter.com/viewbooktoc/product/49040
001626417|Schandry, Rainer|Biologische Psychologie|3., vollst. überarb. Aufl.|2011|978-3-621-27844-7|ger|cofz , text , lb03  BSO ,|CZ 1000 B615(3)|http://www.content-select.com/index.php?id=bib%5Fview&ean=9783621278447
001599398|Schildt, Gerhard|Die Arbeiterschaft im 19. und 20. Jahrhundert||1996|978-3-486-70208-8|ger|cofz , text , lb34  BSO ,|NB 2000 S334|http://dx.doi.org/10.1524/9783486702088
001682138|Schira, Josef|Statistische Methoden der VWL und BWL|4., aktualisierte Aufl.|2012|978-3-86894-117-3|ger|cofz , text , lb08  BSO ,|QH 231 S337(4)|http://www.myilibrary.com?id=505950
001700180|Schmalen, Helmut|Grundlagen und Probleme der Betriebswirtschaft|15., überarb. und erw. Aufl.|2013|978-3-7910-3235-1|ger|cofz , text , lb08  BSO ,|QP 120 S347(15)|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10773163
001599295|Schmidt, Heinrich Richard|Konfessionalisierung im 16. Jahrhundert||1992|978-3-486-70190-6|ger|cofz , text , mteo , lb34  BSO ,|NB 1600 S351|http://dx.doi.org/10.1524/9783486701906
001385018|Schmidt, Reiner|Kompendium Öffentliches Wirtschaftsrecht|Dritte, überarbeitete und aktualisierte Auflage|2007|978-3-540-48735-7|ger|cofz , text , lb09  BSO ,|PN 744 S353|http://dx.doi.org/10.1007/978-3-540-48735-7
001552309|Schmidt-Atzert, Lothar|Psychologische Diagnostik|5., vollständig überarbeitete und erweiterte Auflage|2012|978-3-642-17001-0|ger|cofz , text , lb03  BSO ,|CS 1000 A498(5)|http://dx.doi.org/10.1007/978-3-642-17001-0
001568566|Schnotz, Wolfgang|Pädagogische Psychologie kompakt|2., überarb. und erw. Aufl.|2011|978-3-621-27773-0|ger|cofz , text , lb03  BSO ,|CX 1000 S362(2)|http://www.content-select.com/index.php?id=bib%5Fview&ean=9783621279079
001589784|Schreiber, Ulrich|Besteuerung der Unternehmen|3. Aufl. 2012|2012|978-3-8349-3984-5|ger|cofz , text , lb08  BSO ,|QL 800 S378(3)|http://dx.doi.org/10.1007/978-3-8349-3984-5
001596765|Schreiber, Ulrich|International Company Taxation||2013|978-3-642-36306-1|eng|cofz , text , lb08  BSO ,|QL 800 M947(e)|http://dx.doi.org/10.1007/978-3-642-36306-1
001618888|Schreiner, Peter|Byzanz 565 - 1453|4., aktualisierte Aufl.|2011|978-3-486-70477-8|ger|cofz , text , lb34  BSO ,|NB 1600 S378(4)|http://dx.doi.org/10.1524/9783486704778
001438147|Schuler, Heinz|Lehrbuch Organisationspsychologie|4., aktualisierte Aufl.|2007|978-3-456-84458-9|ger|cofz , text , lb03  BSO ,|CW 4500 S386|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/12997
001460681|Schuler, Heinz|Lehrbuch der Personalpsychologie|2., überarb. u. erw. Aufl.|2006|3-8017-1934-0|ger|cofz , text , lb03  BSO ,|CW 4700 S386|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/6446
001497021|Schuller, Wolfgang|Griechische Geschichte|6., aktualisierte Aufl.|2008|978-3-486-70097-8|ger|cofz , text , lb34  BSO ,|NB 1400 S386|http://dx.doi.org/10.1524/9783486700978
001398896|Schulz, Winfried|Politische Kommunikation|2., vollständig überarbeitete und erweiterte Auflage|2008|978-3-531-91830-3|ger|cofz , text , lb01  BSO ,|AP 14150 S389|http://dx.doi.org/10.1007/978-3-531-91830-3
001699277|Schulze-Pillot, Rainer|Einführung in Algebra und Zahlentheorie|2., überarb. u. erw. Aufl.|2008|978-3-540-79569-8|ger|cofz , text , lb11  BSO ,|SK 200 S391|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10252065
001636201|Schwab, Dieter|Familienrecht|21., neu bearb. Aufl.|2013||ger|cofz , text , lb09  BSO ,|PD 7306 S398(21)|http://ebibliothek.beck.de/Default.aspx?vpath=bibdata/komm/SchHdbFamR%5F21/cont/SchHdbFamR.htm
001628183|Schäfer, Carsten|Gesellschaftsrecht|3., neu bearb. Aufl.|2013||ger|cofz , text , lb09  BSO ,|PE 375 S294(3)|http://ebibliothek.beck.de/?vpath=/bibdata/komm/schhdbgesr%5F3/cont/schhdbgesr.htm
001589885|Schäfer, Hans-Bernd|Lehrbuch der ökonomischen Analyse des Zivilrechts|5. Aufl. 2012|2012|978-3-642-29122-7|ger|cofz , text , lb09  BSO ,|PI 4130 S294(5)|http://dx.doi.org/10.1007/978-3-642-29122-7
001497041|Schöllgen, Gregor|Das Zeitalter des Imperialismus|5., überarb. und erw. Aufl.|2009|978-3-486-70088-6|ger|cofz , text , lb34  BSO ,|NB 2000 S364|http://dx.doi.org/10.1524/9783486700886
001700041|Siegel, Jeff|The emergence of Pidgin and Creole languages|1. publ.|2008|978-0-19-921666-6|eng|cofz , text , lb27  BSO ,|HF 571 S571|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10229937
001586076|Sodan, Helge|Grundkurs Öffentliches Recht|5., wesentlich überarb. Aufl.|2012||ger|cofz , text , lb09  BSO ,|PL 375 S679(5)|http://ebibliothek.beck.de/?vpath=bibdata/komm/SoZiHdbGKOeffentR%5F5/cont/SoZiHdbGKOeffentR.htm
001392067|Stahlknecht, Peter|Einführung in die Wirtschaftsinformatik|11., vollst. überarb. Aufl.|2005|978-6-610-61589-6|ger|cofz , text , lb12  BSO ,|ST 610 S781|http://www.myilibrary.com?id=61589
001555761|Stein, Ekkehart|Staatsrecht|21., neubearb. Aufl.|2010|978-3-16-150258-3|ger|cofz , text , lb09  BSO ,|PL 375 S819(21)|http://www.myilibrary.com?id=351565
001526178|Stern, Klaus|Verwaltungsprozessrecht in der Klausur|9., vollst. neu bearb. u. erw. Aufl.|2008||ger|cofz , text , lb09  BSO ,|PN 945 S839|http://ebibliothek.beck.de/Default.aspx?vpath=bibdata/komm/StBlHdbVerwProzR%5F9/cont/StBlHdbVerwProzR.htm
001682134|Strauss, Judy|E-marketing|6. ed., international ed.|2014|978-0-13-280646-6|eng|cofz , text , lb08  BSO ,|QP 650 S912(6)|http://www.myilibrary.com?id=527190
001568760|Sundaresan, Suresh M.|Fixed income markets and their derivatives|3rd ed|0|978-0-12-370471-9|eng|cofz , text , lb08  BSO ,|QK 620 S957|http://proquest.tech.safaribooksonline.de/9780123704719
001547147|Sundaresan, Suresh M.|Fixed income markets and their derivatives|3. ed.|2009|0-12-370471-5|eng|cofz , text , lb08  BSO ,|QK 620 S957|http://site.ebrary.com/lib/alltitles/docDetail.action?docID=10286089
001526165|Tettinger, Peter J.|Einführung in die juristische Arbeitstechnik|4., überarb. Aufl.|2009||ger|cofz , text , lb09  BSO ,|PC 5720 T348|http://ebibliothek.beck.de/Default.aspx?vpath=bibdata/komm/TeMaHdbArbtec%5F4/cont/TeMaHdbArbtec.htm
001699283|Todd, Peter M.|Ecological rationality||2012|978-0-19-531544-8|eng|cofz , text , lb03  BSO ,|CP 4000 T635(e)|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10539087
