Aleph-ID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Signatur|Fach
001368431|Bryant, Jennings|Media effects|3. ed.|2009|978-0-8058-6449-6|eng|110 AP 16800 B915|25
001459318|Bryant, Jennings|Psychology of entertainment|Repr.|2006|978-0-8058-5238-7|eng|110 AP 14450 B915|25
001513281|Brümmerhoff, Dieter|Finanzwissenschaft|10. Aufl.|2011|978-3-486-70261-3|ger|110 QL 000 B889(10)|08
000949027|Buchheim, Christoph|Einführung in die Wirtschaftsgeschichte||1997|3-406-41901-1|ger|110 NB 2200 B919|34
001606768|Buck-Heeb, Petra|Kapitalmarktrecht|6., völlig neu bearb. Aufl.|2013|978-3-8114-9348-3|ger|110 PE 610 B922(6)|09
001637351|Bueno de Mesquita, Bruce|Principles of international politics|5. ed.|2014|978-1-4522-0298-3|eng|110 MK 1100 B928(5e)|07
001628075|Bumke, Christian|Casebook Verfassungsrecht|[Neuaufl. des bis zur 5. Aufl. bei Beck-Verl. ersch. Titels]|2013|978-3-16-152411-0|ger|110 PL 373 B941(2013)|09
000975451|Bumke, Joachim|Geschichte der deutschen Literatur im hohen Mittelalter|Orig.-Ausg.|1990|3-423-04552-3|ger|110 GE 8001 G389-2|29
000708688|Bumke, Joachim|Höfische Kultur|Orig.-Ausg., 9. Aufl.|1999|3-423-30170-8|ger|110 GF 2616 B941(9)|29
001371878|Bumke, Joachim|Höfische Kultur|Orig.-Ausg., 11. Aufl.|2005|3-423-30170-8|ger|110 GF 2616 B941(11)|29
001404706|Bumke, Joachim|Höfische Kultur|Orig.-Ausg., 12. Aufl.|2008|978-3-423-30170-1|ger|110 GF 2616 B941(12)|29
001494634|Bundschuh, Peter|Einführung in die Zahlentheorie|6., überarb. und aktualisierte Aufl.|2008|978-3-540-76490-8|ger|110 SK 180 B942|11
001181019|Bungard, Walter|Methoden der Arbeits- und Organisationspsychologie||1996|3-621-27308-5|ger|110 CW 4500 B942|03
000754372|Bunzel, Wolfgang|Einführung in die Literatur des Naturalismus||2008|3-534-20009-8|ger|110 GM 1660 B942|29
000985438|Burdorf, Dieter|Einführung in die Gedichtanalyse|2., überarb. und aktualisierte Aufl.|1997|978-3-476-12284-1|ger|110 GE 3919 B951|29
000873690|Burger, Harald|Phraseologie|3., neu bearb. Aufl|2007|978-3-503-09812-5|ger|110 GC 8042 B954|29
001575766|Burgi, Martin|Kommunalrecht|4. Aufl.|2012|978-3-406-63897-8|ger|110 PN 315 B956(4)|09
001330710|Burkart, Roland|Kommunikationstheorien|4., erw. u. aktualis. Aufl.|2007|978-3-7003-1602-2|ger|110 AP 13550 B959|25
001212218|Burkart, Roland|Kommunikationswissenschaft|4. überarb. u. aktual. Aufl.|2002|3-8252-2259-4|ger|110 AP 12800 B959|25
001020019|Burrow, John A.|A book of Middle English|2. ed.|1996|0-631-19352-9|enm|110 HH 4220 B972|28
001379976|Busam, Rolf|Prüfungstrainer lineare Algebra||2009|978-3-8274-1976-7|ger|110 SK 220 B976|11
001368382|Busch, Albert|Germanistische Linguistik|2., durchges. und korr. Aufl.|2008|978-3-8233-6414-6|ger|110 GC 1015 B977|29
001022177|Bußmann, Hadumod|Lexikon der Sprachwissenschaft|2., völlig neu bearb. Aufl.|1990|3-520-45202-2|ger|110 ER 450 B981(2)|27
001401028|Bußmann, Hadumod|Lexikon der Sprachwissenschaft|4., durchges. u. bibliogr. erg. Aufl.|2008|978-3-520-45204-7|ger|110 ER 450 B981(4)|27
001623118|Bydlinski, Peter|BGB-Schuldrecht Allgemeiner Teil|8., neu bearb. Aufl.|2013|978-3-8114-9859-4|ger|110 PD 3606 W527(8)|09
001508273|Byrd, B. Sharon|Introduction to Anglo-American law and language|3. ed.|2011|978-3-406-60923-7|eng|110 PU 5290 B995-1(3)|09
001618851|Bähr, Peter|Grundzüge des Bürgerlichen Rechts|12., überarb. und aktualisierte Aufl.|2013|978-3-8006-4584-8|ger|110 PD 2700 B139(12)|09
001247510|Böhm, Monika|Fälle zum allgemeinen Verwaltungsrecht|4., neu bearb. Aufl. / des von Manfred Zuleeg begr. Werkes|2007|3-406-54853-9|ger|110 PN 223 B671|09
001367219|Böhn, Andreas|Mediengeschichte||2008|978-3-8233-6415-3|ger|110 AP 13300 B671|25
001518821|Bühl, Achim|SPSS 20|13., aktualisierte Aufl.|2012|978-3-86894-150-0|ger|110 ST 601 S69 B928(13)|12
001461122|Bühner, Markus|Einführung in die Test- und Fragebogenkonstruktion|3., aktualisierte und erw. Aufl.|2011|978-3-86894-033-6|ger|110 CS 1000 B928(3)|03
001575276|Bülow, Peter|Recht der Kreditsicherheiten|8., neu bearb. und erw. Aufl.|2012|978-3-8114-9678-1|ger|110 PD 7040 B928(8)|09
001497465|Bülow, Peter|Verbraucherprivatrecht|3., neu bearb. Aufl.|2011|978-3-8114-9792-4|ger|110 PD 3540 B928(3)|09
000671759|Cable, Thomas|A companion to Baugh and Cable's history of the English language|3. ed.|2002|0-415-29894-6|eng|110 HE 130 C115|28
001542990|Cachon, Gérard|Matching supply with demand|3. ed., international ed.|2013|978-0-07-132622-3|eng|110 QP 500 C119(2)|08
001434600|Cameron, Adrian Colin|Microeconometrics using stata|Rev. ed.|2010|978-1-59718-073-3|eng|110 QH 320 C182|08
001115522|Cameron, Averil|dtv-Geschichte der Antike||1994|3-423-04621-X|ger|110 NB 1400 C182|34
000988418|Canaris, Claus-Wilhelm|Handelsrecht|24., vollst. neu bearb. Aufl.|2006|3-406-52867-8|ger|110 PE 345 C213|09
001150433|Carlson, Neil R.|Physiologische Psychologie|8., aktualis. Aufl.|2004|3-8273-7087-6|ger|110 CZ 1000 C284|03
001505481|Cascio, Wayne F.|Investing in people|2. ed.|2011|978-0-13-707092-3|eng|110 QV 578 C336(2e)|08
001602228|Cavusgil, Salih Tamer|International business|3. ed., global ed.|2014|978-0-13-299126-1|eng|110 QP 305 C383(3e)|08
001179926|Chabas, Sabine|PONS - Wirtschaftswortschatz mit System - Französisch|Aufl. A1|2006|3-12-561281-0|ger|110 ID 1582 C426|30
001574950|Chaffey, Dave|Digital marketing|5. ed.|2012|978-0-273-74610-2|eng|110 QP 650 C433(5)|08
001422988|Charbel, Ariane|Schnell und einfach zur Diplomarbeit|7., aktual. Aufl.|2008|978-3-8214-7677-3|ger|110 AK 39580 C469(7)|01
001373190|Charbel, Ariane|Top vorbereitet in die mündliche Prüfung|2., aktualisierte Aufl.|2005|3-8214-7651-6|ger|110 AK 39780 C469|01
000995143|Chiang, Alpha C.|Fundamental methods of mathematical economics|4. ed., internat. ed.|2005|0-07-123823-9|eng|110 QH 110 C532(4e)|08
001460887|Chiang, Alpha C.|Mathematik für Ökonomen||2011|978-3-8006-3663-1|ger|110 QH 110 C532|08
001140909|Chiellino, Carmine|Italien|Orig.-Ausg., 3., neubearb. Aufl.|1995|3-406-39351-9|ger|110 NB 2000 C533|34
000884702|Childs, Lindsay N.|A concrete introduction to higher algebra|2. ed., 1. softcover print.|2000|0-387-98999-4|ger|110 SK 200 C537|11
001543235|Chopra, Sunil|Supply chain management|5. ed., global ed.|2013|0-273-76522-1|eng|110 QP 530 C549(5e)|08
001048453|Christ, Karl|Die Römer|3., überarb. Aufl.|1994|3-406-38504-4|ger|110 NB 1400 C554|34
001681558|Cialdini, Robert B.|Die Psychologie des Überzeugens|7. Aufl.|2013|978-3-456-85150-1|ger|110 CV 3500 C565(7)|03
001545399|Clark, William Roberts|Principles of comparative politics|2. ed.|0|978-1-60871-679-1|eng|110 MB 2480 C596(2)|07
001334029|Claussen, Carsten Peter|Bank- und Börsenrecht für Studium und Praxis|4., neu bearb. Aufl.|2008|978-3-406-56660-8|ger|110 PE 610 C616|09
000955211|Cohen, Jacob|Applied multiple regression correlation analysis for the behavioral sciences|3. ed.|2003|0-8058-2223-2|eng|110 SK 840 C678(3)|11
